#i, obs_GPP3d_cycle, obs_ER3d_cycle, obs_LE3d_cycle, obs_H3d_cycle, clm_GPP3d_cycle, clm_ER3d_cycle, clm_LE3d_cycle, clm_H3d_cycle, obs_G3d_cycle, obs_Rn3d_cycle, clm_Rn3d_cycle, clm_G3d_cycle, clm_FCTR3d_cycle, clm_FCEV3d_cycle, clm_FGEV3d_cycle
78, 4.42779, 3.79495, 56.4939, 40.9069, 5.06012, 4.55689, 68.9099, 52.6017, 4.25449, 146.1, 133.569, 11.3685, 49.8552, 7.60026, 11.4544
79, 4.62229, 3.89214, 62.145, 44.0791, 5.0488, 4.5994, 74.5048, 60.6739, 4.20455, 156.394, 142.292, 7.3506, 55.3938, 6.42787, 12.6831
80, 4.29468, 3.62485, 58.9961, 43.8983, 4.62194, 4.2484, 68.5413, 65.4945, 2.06491, 145.255, 131.588, -1.36338, 51.4622, 4.38169, 12.6974
81, 4.27854, 3.55859, 54.7302, 42.9352, 4.39896, 4.057, 64.9901, 66.7178, 1.9679, 143.351, 130.112, -1.23061, 50.0572, 2.62947, 12.3034
82, 4.00313, 3.33395, 44.9449, 30.8131, 4.519, 4.03683, 56.9437, 45.5943, 1.92598, 112.119, 101.806, -0.770425, 45.0618, 1.77424, 10.1077
83, 4.33224, 3.75158, 58.4965, 44.0397, 5.16368, 4.50535, 74.4361, 49.0388, 4.66116, 151.797, 139.557, 14.0105, 56.2015, 6.23227, 12.0024
84, 3.91668, 3.69096, 54.7862, 37.7808, 4.62882, 4.36232, 66.2471, 58.6408, 3.37729, 137.181, 125.299, 1.58905, 52.1048, 2.05276, 12.0895
85, 3.65326, 3.54077, 49.6315, 36.7671, 4.03882, 4.01333, 59.2751, 55.1932, 1.23693, 119.131, 106.76, -6.14256, 40.8512, 7.65592, 10.768
86, 4.03317, 3.65718, 52.3532, 36.4986, 4.3193, 4.11584, 59.637, 52.8669, 1.8163, 128.086, 116, 2.58664, 43.4297, 5.73025, 10.477
87, 3.89706, 3.67244, 51.6685, 33.7162, 4.505, 4.25798, 61.4343, 50.2633, 2.56464, 128.433, 117.087, 4.82444, 45.1453, 5.53994, 10.749
88, 4.7148, 3.71048, 58.2029, 37.985, 4.85159, 4.36655, 71.4044, 57.3983, 2.39052, 147.859, 135.049, 5.94726, 53.4088, 5.12011, 12.8755
89, 4.29689, 3.75618, 58.4173, 34.2708, 4.79781, 4.35376, 67.9336, 50.5059, 1.30721, 134.549, 122.235, 3.71501, 52.0228, 2.31353, 13.5972
90, 3.8304, 3.63987, 51.6328, 24.0381, 4.80025, 4.47007, 68.3252, 40.1643, 1.7145, 122.268, 110.833, 2.65006, 45.1123, 10.7744, 12.4385
