#i, obs_GPP3d_cycle, obs_ER3d_cycle, obs_LE3d_cycle, obs_H3d_cycle, clm_GPP3d_cycle, clm_ER3d_cycle, clm_LE3d_cycle, clm_H3d_cycle, obs_G3d_cycle, obs_Rn3d_cycle, clm_Rn3d_cycle, clm_G3d_cycle, clm_FCTR3d_cycle, clm_FCEV3d_cycle, clm_FGEV3d_cycle
288, 4.64778, 5.00037, 52.6182, 22.9663, 4.38, 4.41276, 43.6517, 49.6042, -2.38585, 105.281, 87.2256, -5.60268, 29.45, 3.09603, 11.1057
289, 4.89906, 4.83971, 59.6774, 26.824, 4.54953, 4.44419, 50.8709, 59.1543, -3.13255, 122.91, 102.51, -6.2844, 32.6528, 4.8733, 13.3449
290, 4.80817, 4.0969, 56.5879, 27.0141, 4.3847, 4.19773, 48.0109, 65.3568, -6.54958, 118.353, 96.7522, -14.9099, 32.8307, 1.74206, 13.4381
291, 4.29526, 3.99586, 46.5218, 27.7988, 4.16774, 4.10116, 39.342, 56.4416, -6.09135, 101.071, 81.6134, -13.5274, 26.2026, 2.26962, 10.8698
292, 4.2013, 4.00143, 48.3918, 30.3355, 4.19733, 4.14657, 44.8353, 59.2771, -5.26503, 113.352, 95.0431, -8.9958, 27.736, 6.51817, 10.581
293, 4.76635, 4.03911, 53.3473, 32.0694, 4.53039, 4.11814, 44.8974, 68.852, -5.99155, 127.69, 106.835, -7.53834, 31.075, 2.40009, 11.4223
294, 4.62997, 4.23355, 49.858, 27.1509, 4.4977, 4.1837, 40.0799, 56.9499, -5.20419, 115.057, 92.1093, -5.50543, 30.0979, -0.191822, 10.1739
295, 4.66481, 4.23723, 52.0923, 29.2253, 4.4322, 4.20939, 42.1035, 51.5437, -4.39822, 113.13, 90.0733, -3.84641, 30.2836, 1.85243, 9.96752
296, 4.53724, 4.18985, 49.1936, 25.387, 4.40633, 4.19415, 41.7379, 50.6329, -3.93101, 105.448, 85.1731, -6.65728, 28.3582, 3.63665, 9.74308
297, 4.40603, 4.11828, 46.4145, 24.9132, 4.34692, 4.15354, 40.3232, 50.6878, -3.96629, 106.881, 83.4635, -7.24196, 28.1381, 2.29974, 9.88532
