#i, obs_G3d_cycle, obs_Rn3d_cycle
325, -4.93023, 30.7663
326, -3.96827, 34.4649
327, -5.48131, 32.8078
328, -6.08442, 34.8371
329, -5.12109, 33.6267
330, -3.52127, 35.4277
331, -4.94151, 33.8993
332, -5.41507, 35.5614
333, -3.06793, 30.8274
334, -1.65072, 34.5512
335, -3.10429, 34.8314
336, -5.22794, 21.8204
337, -4.87996, 33.955
338, -5.30536, 30.2733
339, -4.43446, 26.5453
340, -4.81733, 27.329
341, -6.13902, 26.7293
342, -6.40235, 28.123
343, -4.98865, 27.7291
344, -4.63138, 27.7301
345, -5.30505, 19.243
346, -3.86621, 25.4188
347, -5.38513, 24.0511
348, -4.41643, 26.4304
349, -3.89041, 20.8271
350, -5.53245, 24.4648
351, -4.28397, 31.7566
352, -3.71688, 20.5742
353, -6.61435, 21.6078
354, -6.3268, 19.1822
355, -5.20528, 18.9888
356, -2.93758, 23.9325
357, -1.96639, 25.1281
358, -2.2276, 22.4643
359, -2.14236, 21.5482
360, -3.55842, 16.3908
361, -4.63549, 26.7111
362, -5.58788, 30.2906
363, -4.00178, 18.6757
364, -5.99084, 24.5434
365, -5.51606, 28.7137
