#i, obs_GPP3d_cycle, obs_ER3d_cycle, obs_LE3d_cycle, obs_H3d_cycle, clm_GPP3d_cycle, clm_ER3d_cycle, clm_LE3d_cycle, clm_H3d_cyle, clm_FCTR3d_cycle, clm_FCEV3d_cycle, clm_FGEV3d_cycle, clm_Qstor3d_cycle, clm_Rnet3d_cycle
256, 10.0832, 9.61637, 94.1803, 17.5578, 7.42473, 6.53384, 62.9738, 54.8441, 43.7334, 11.7841, 7.45632, 1.9866, 120.13
257, 10.2196, 9.6804, 87.7706, 25.4794, 7.12802, 6.46343, 58.8448, 49.8999, 43.1084, 6.57172, 9.16473, -1.47652, 107.301
258, 10.0591, 9.2791, 100.659, 35.5182, 7.09228, 6.50352, 61.2872, 51.8321, 44.2817, 8.04631, 8.95916, 0.310768, 113.254
259, 9.40084, 8.77658, 85.6084, 33.5202, 6.96512, 6.38517, 60.1031, 42.7944, 37.3292, 14.0206, 8.75322, -3.98413, 98.0963
260, 9.62156, 8.53699, 89.7176, 20.2561, 6.88963, 6.37518, 50.0904, 42.6591, 35.3217, 8.03681, 6.73194, -0.644459, 91.8973
261, 9.84583, 8.42249, 93.9577, 17.2485, 7.25578, 6.42648, 58.0086, 49.7091, 40.2884, 10.9058, 6.81445, 1.65145, 109.817
262, 8.81815, 8.26551, 88.9839, 12.8356, 6.90497, 6.4114, 51.0003, 46.8067, 37.8245, 6.20388, 6.97193, 0.443212, 98.0072
263, 8.77042, 8.14177, 87.5624, 20.3789, 6.73062, 6.3703, 50.8882, 45.1849, 35.5029, 8.72189, 6.66341, 0.979985, 97.0882
264, 8.61713, 8.14614, 87.7012, 18.3572, 6.87389, 6.39863, 52.3494, 42.8692, 36.0889, 9.83261, 6.42782, 0.43486, 95.781
265, 9.00823, 8.34325, 80.854, 13.0791, 6.77079, 6.43805, 49.4412, 43.2284, 36.935, 6.31771, 6.18851, 1.51416, 94.3767
266, 8.98903, 8.46031, 87.2827, 11.9135, 6.65491, 6.46517, 52.5386, 42.266, 35.6796, 9.99376, 6.86527, 0.453697, 95.026
267, 8.33098, 8.19734, 96.9303, 14.4912, 6.53971, 6.40197, 51.0274, 46.4627, 37.103, 6.67817, 7.24624, -0.703246, 96.8123
268, 7.85085, 7.97452, 71.4855, 15.8565, 5.89171, 6.30783, 42.2919, 28.1827, 28.0893, 7.55997, 6.6426, -2.71999, 66.91
269, 8.24129, 7.95355, 79.023, 6.91077, 6.41551, 6.41253, 50.2611, 34.8639, 32.5105, 11.8796, 5.87103, 0.618811, 86.3789
270, 7.57597, 7.85441, 79.9823, 12.8982, 6.57193, 6.52155, 53.4627, 34.4453, 32.9036, 16.1865, 4.37258, 3.61003, 91.5889
271, 8.54272, 7.82187, 81.1835, 6.47696, 6.7953, 6.40439, 51.014, 42.1558, 37.3085, 7.28888, 6.41657, 0.49915, 93.9131
272, 8.11728, 7.5409, 76.6338, 13.2921, 6.27795, 6.24502, 48.5121, 37.5924, 30.6576, 11.7002, 6.15426, -3.01535, 81.7566
273, 7.28385, 7.41009, 69.7664, 8.47122, 6.27476, 6.13978, 47.4014, 38.4694, 32.4489, 8.19745, 6.75502, -3.34567, 82.4643
274, 7.79611, 7.40833, 75.1263, 14.7522, 6.18659, 6.0166, 48.4478, 47.0518, 31.8223, 6.04345, 10.5821, -11.2845, 83.6647
275, 9.08525, 7.51327, 79.1385, 16.0993, 6.3457, 5.99469, 52.1256, 45.7603, 35.0668, 6.08591, 10.973, -8.67503, 89.382
276, 9.15265, 8.00626, 78.5121, 17.5673, 6.55624, 6.11793, 49.5219, 42.7522, 35.4967, 7.14454, 6.88071, 0.00784642, 93.0949
277, 9.37591, 8.07222, 80.5139, 11.7647, 6.4555, 6.16821, 51.1669, 39.1842, 34.3907, 9.58978, 7.18637, -0.42459, 89.5334
278, 8.49412, 7.93326, 77.0522, 13.0413, 6.23693, 6.02349, 49.962, 39.371, 33.4314, 7.35565, 9.17498, -5.30188, 83.7362
279, 8.30871, 7.70001, 65.7427, 15.2506, 6.09604, 6.01538, 44.9722, 34.8508, 30.4664, 6.21156, 8.29425, -3.72407, 76.2436
280, 7.48743, 7.63941, 63.8727, 16.8885, 5.88347, 6.03485, 42.4445, 33.0574, 28.5193, 7.20075, 6.72446, -0.0300921, 75.5256
281, 7.64191, 7.57963, 61.047, 10.9591, 5.30415, 5.93572, 39.2395, 23.1665, 26.3825, 6.73681, 6.12013, 0.0386917, 62.2825
282, 6.98944, 7.45076, 61.3512, 1.86726, 5.43703, 5.98779, 44.8256, 25.5402, 27.1251, 10.3417, 7.3588, -2.56859, 68.045
283, 6.73956, 7.06714, 62.4888, 2.71013, 5.50194, 6.08044, 40.3287, 25.9519, 24.4608, 8.98132, 6.88655, -2.38301, 63.2352
284, 7.01993, 6.46178, 65.8688, 17.8418, 5.6005, 5.99572, 40.768, 30.2172, 24.347, 9.86488, 6.55609, -2.88226, 67.6694
285, 6.99527, 6.11632, 64.8859, 15.6731, 5.62203, 5.88189, 38.7091, 26.8275, 24.6739, 7.7201, 6.31512, -2.44114, 63.0567
286, 7.94475, 5.89628, 72.0462, 18.8909, 6.00061, 5.90716, 45.3535, 35.1959, 27.1798, 11.9093, 6.26448, -3.34498, 77.1619
287, 7.3509, 5.76624, 64.5476, 11.9751, 5.64408, 5.76633, 40.584, 32.4541, 27.1069, 6.09541, 7.38173, -6.68602, 65.6783
288, 6.86232, 5.53, 71.2476, 12.5157, 5.66525, 5.73039, 45.6029, 36.0706, 29.1996, 6.00661, 10.3967, -9.7759, 72.2799
289, 6.32164, 5.23016, 68.8821, 21.0276, 5.64235, 5.63787, 46.7746, 33.4882, 29.4324, 6.67939, 10.6628, -10.91, 68.6509
290, 6.32655, 4.97266, 63.8843, 9.02515, 5.50064, 5.5288, 39.9312, 34.9943, 27.5653, 3.53734, 8.82862, -7.89503, 66.6422
291, 6.03596, 4.87771, 60.8867, 10.6954, 5.47363, 5.58496, 39.4378, 27.1549, 25.5539, 7.43022, 6.45369, -0.87063, 65.9371
292, 6.36689, 4.65149, 65.7193, 11.4096, 5.6804, 5.71405, 41.1437, 28.7065, 24.8414, 11.5479, 4.75441, 2.21715, 72.2952
293, 6.44084, 4.32591, 74.3626, 19.8856, 5.89726, 5.62818, 45.0903, 37.8686, 32.3906, 4.42893, 8.27066, -6.22763, 76.6063
294, 6.71367, 4.25097, 72.287, 25.3442, 6.18139, 5.53458, 44.5728, 41.8457, 34.2286, 0.880981, 9.46324, -7.02097, 79.7434
295, 6.6421, 4.29131, 61.746, 15.0425, 5.58617, 5.43924, 42.1372, 28.6184, 26.1964, 6.75755, 9.18329, -9.83507, 60.1145
