#i, obs_GPP3d_cycle, obs_ER3d_cycle, obs_LE3d_cycle, obs_H3d_cycle, clm_GPP3d_cycle, clm_ER3d_cycle, clm_LE3d_cycle, clm_H3d_cyle, clm_FCTR3d_cycle, clm_FCEV3d_cycle, clm_FGEV3d_cycle, clm_Qstor3d_cycle, clm_Rnet3d_cycle
205, 11.0632, 9.64108, 122.289, 22.5587, 10.7087, 9.43346, 130.701, 30.3774, 89.7825, 25.5473, 15.3706, 3.72774, 164.822
206, 11.477, 9.50866, 121.497, 20.2959, 10.5363, 9.07881, 121.287, 37.811, 91.2889, 15.0959, 14.902, 2.6205, 161.487
207, 11.5737, 9.50001, 125.744, 28.2782, 10.5323, 9.32454, 122.563, 44.7353, 98.1437, 8.75332, 15.6664, 4.22639, 172.27
208, 11.7845, 9.67451, 118.746, 25.6633, 10.3673, 9.407, 114.447, 35.3858, 95.6381, 4.37855, 14.4307, 4.64014, 154.709
209, 11.5716, 9.5669, 129.817, 25.4563, 10.4818, 9.42141, 125.87, 40.5585, 98.7103, 11.0286, 16.1311, 4.85973, 171.479
210, 10.7889, 9.58208, 112.182, 24.0598, 10.1337, 9.14041, 116.119, 36.573, 87.6138, 13.565, 14.94, 2.30569, 153.864
211, 10.408, 9.41712, 106.191, 25.7452, 9.87009, 8.97409, 111.44, 31.4762, 79.7678, 18.2956, 13.3763, 1.18435, 143.572
212, 10.0899, 9.51413, 105.703, 21.545, 9.77997, 8.91964, 113.6, 23.2745, 80.0235, 21.2572, 12.3189, 1.31387, 138.095
213, 11.0234, 9.24573, 103.962, 23.7664, 9.91156, 8.9069, 111.252, 21.6275, 74.7553, 24.3097, 12.187, 2.80495, 135.927
214, 10.3553, 9.35101, 117.853, 20.2868, 9.81937, 9.10794, 115.336, 34.4748, 87.169, 13.6495, 14.5174, 4.46131, 154.706
215, 10.7366, 9.51532, 113.642, 25.078, 9.98761, 9.06833, 112.704, 35.4688, 87.6164, 10.7248, 14.3628, 4.00033, 152.19
216, 11.2051, 9.57723, 115.477, 27.1941, 10.2827, 9.00878, 113.149, 33.7167, 90.9928, 8.31052, 13.8452, 4.32941, 151.804
217, 12.1059, 9.64317, 133.803, 26.4233, 10.4688, 9.22788, 123.516, 41.6676, 100.046, 7.85785, 15.6125, 5.69149, 171.428
218, 10.9147, 9.48023, 112.074, 28.1451, 10.0301, 9.02909, 113.151, 29.8806, 88.7429, 10.2722, 14.1358, 2.36392, 144.33
219, 10.8828, 9.15771, 112.782, 22.1977, 10.0271, 9.03763, 113.303, 31.8934, 83.1686, 16.7999, 13.3348, 3.32998, 148.377
220, 10.7007, 8.91009, 110.561, 24.2202, 10.0515, 9.11743, 107.039, 25.4378, 78.8227, 15.5657, 12.6506, 2.92387, 135.095
221, 10.295, 8.74876, 111.523, 15.6408, 9.85421, 8.92214, 123.433, 24.3176, 83.7307, 26.0414, 13.6607, 2.98164, 150.488
222, 10.771, 8.67862, 113.29, 22.5531, 10.0405, 8.84428, 116.248, 28.1136, 87.6422, 14.852, 13.7535, 3.44876, 148.387
223, 10.609, 8.57286, 102.717, 21.6985, 9.59565, 8.67456, 105.746, 20.2059, 75.9854, 18.4371, 11.3234, 2.74545, 128.362
224, 9.76096, 8.41985, 111.168, 21.504, 10.0762, 8.75932, 116.633, 28.033, 83.2758, 21.5871, 11.7705, 3.56619, 148.122
225, 10.1665, 8.68083, 113.829, 20.6419, 9.88211, 8.67492, 110.309, 31.2192, 83.886, 14.9548, 11.4679, 3.0675, 144.475
226, 10.6268, 8.912, 122.673, 25.9665, 9.87846, 8.65174, 114.375, 36.241, 86.605, 14.5899, 13.1806, 1.99739, 152.447
227, 11.0201, 9.1745, 117.272, 31.7206, 10.0392, 8.57656, 117.453, 34.5924, 90.0371, 14.1534, 13.262, 3.20226, 155.823
228, 11.5166, 9.50986, 118.425, 33.7244, 10.1234, 8.74817, 117.881, 33.8957, 88.3376, 15.4301, 14.1129, 3.31531, 155.114
229, 11.1044, 9.6729, 110.759, 25.3584, 9.87131, 8.62846, 107.524, 33.6487, 84.9145, 8.90115, 13.7087, 3.22701, 144.45
230, 10.3421, 9.66491, 108.846, 19.9858, 10.1196, 8.70732, 116.712, 21.6699, 82.4745, 22.2684, 11.969, 3.71118, 141.74
231, 10.3408, 9.84904, 90.4996, 20.3102, 9.49715, 8.57587, 103.417, 21.5583, 73.3065, 19.0813, 11.0293, 1.90176, 126.77
232, 10.0959, 9.99069, 119.293, 22.6862, 9.91276, 9.0331, 117.354, 35.4104, 87.0823, 16.6842, 13.5874, 5.25219, 159.049
233, 10.6003, 10.2334, 113.299, 24.1861, 9.78018, 9.05797, 110.103, 33.2112, 87.9717, 9.20575, 12.9257, 4.19977, 147.582
234, 11.0251, 10.2532, 117.149, 30.2945, 9.5383, 8.96959, 106.699, 36.2813, 83.4634, 9.64734, 13.5884, 2.53126, 144.351
235, 11.1549, 10.2341, 107.495, 22.853, 9.62443, 8.62361, 102.726, 27.8242, 79.0448, 11.1357, 12.5457, 1.32588, 131.366
236, 11.1185, 10.1308, 113.837, 19.8066, 9.70193, 8.21353, 112.273, 28.2089, 82.6025, 16.7986, 12.8715, -0.721629, 139.487
237, 11.3889, 10.1089, 115.238, 29.9078, 9.69018, 8.0128, 106.488, 36.1204, 87.1344, 6.43607, 12.9174, 1.06171, 144.174
238, 11.098, 9.95811, 110.452, 20.3058, 9.54718, 8.0199, 100.272, 31.6182, 82.2079, 6.12255, 11.9417, 0.968527, 132.734
239, 9.33056, 9.85578, 92.3142, 16.4979, 8.65964, 8.02757, 92.3455, 20.9645, 71.2404, 10.4991, 10.6059, 0.991885, 113.958
240, 10.4335, 9.64655, 100.894, 20.2896, 9.41824, 8.29849, 94.7599, 21.7415, 76.1799, 6.90223, 11.6777, 2.53752, 119.383
241, 10.6338, 9.61394, 109.382, 18.5299, 9.83411, 8.52057, 104.224, 23.9606, 73.7162, 19.681, 10.827, 3.89579, 132.145
242, 9.87021, 9.44761, 111.536, 17.0871, 9.68616, 8.30466, 111.774, 26.0965, 81.8842, 16.9116, 12.978, 1.87814, 139.837
243, 10.0107, 9.12884, 101.549, 20.2916, 8.90226, 8.22044, 95.5817, 29.1759, 73.6941, 9.89529, 11.9924, 2.46701, 126.843
244, 10.4269, 8.96091, 102.977, 22.3804, 8.86902, 8.05576, 99.1562, 26.3951, 75.2504, 12.0052, 11.9006, 1.28821, 126.327
245, 9.48337, 8.91923, 96.3018, 25.7172, 8.42794, 7.7188, 91.3217, 22.2066, 70.7074, 10.275, 10.3392, 0.0349626, 113.478
246, 8.76923, 9.10325, 92.8739, 15.6588, 8.88122, 7.92121, 101.52, 21.2364, 73.1662, 17.4904, 10.8633, 2.03627, 125.019
247, 9.46581, 9.24341, 113.638, 29.3125, 9.39204, 7.81767, 108.636, 30.3934, 83.3787, 11.8539, 13.4031, 1.25666, 140.479
248, 10.852, 9.36194, 108.17, 23.187, 9.2145, 7.68839, 95.8311, 25.5903, 76.4421, 8.59786, 10.7911, 1.95881, 123.399
249, 11.0561, 9.5056, 99.2128, 27.1447, 8.8361, 7.72463, 94.047, 22.1444, 72.128, 11.3593, 10.5598, 1.51987, 117.103
250, 9.81341, 9.59797, 90.0684, 18.1329, 8.81849, 7.52047, 94.7312, 16.8659, 62.1993, 22.8236, 9.70834, -0.594969, 110.575
251, 10.0161, 9.725, 90.4874, 12.4959, 8.99049, 7.60909, 90.0153, 18.8775, 66.0208, 15.0572, 8.93726, 0.851828, 109.966
